Trial,Stimulus 1 value,Stimulus 1 std,Stimulus 2 value,Stimulus 2 std
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
7,-7.0,1.0,0.0,0.0
8,-7.0,1.5,0.0,0.0
9,-7.0,2.0,0.0,0.0
5,-7.0,0.0,0.0,0.0
6,-7.0,0.5,0.0,0.0
